No,frame,x,y
0.0,7.0,169.5,133.0
1.0,7.0,169.0,145.0
2.0,7.0,169.0,157.0
3.0,7.0,169.5,168.0
4.0,7.0,173.5,178.0
5.0,7.0,180.0,185.0
6.0,7.0,187.0,190.5
7.0,7.0,195.0,194.5
8.0,7.0,204.0,195.5
9.0,7.0,213.5,195.5
10.0,7.0,224.0,193.5
11.0,7.0,234.0,189.5
12.0,7.0,243.0,183.0
13.0,7.0,249.5,174.0
14.0,7.0,251.5,162.5
15.0,7.0,253.0,150.5
16.0,7.0,254.0,137.5
17.0,7.0,175.0,117.5
18.0,7.0,179.5,111.5
19.0,7.0,186.5,109.0
20.0,7.0,194.5,109.5
21.0,7.0,201.5,113.5
22.0,7.0,215.0,114.5
23.0,7.0,223.0,110.5
24.0,7.0,231.5,111.0
25.0,7.0,239.0,114.5
26.0,7.0,243.5,121.5
27.0,7.0,207.0,128.5
28.0,7.0,206.5,136.5
29.0,7.0,205.5,144.5
30.0,7.0,205.0,152.0
31.0,7.0,198.0,159.5
32.0,7.0,201.5,161.0
33.0,7.0,204.5,162.5
34.0,7.0,209.5,162.0
35.0,7.0,214.0,161.0
36.0,7.0,183.5,129.5
37.0,7.0,188.0,128.0
38.0,7.0,192.5,127.5
39.0,7.0,197.5,129.5
40.0,7.0,193.0,131.0
41.0,7.0,188.0,131.0
42.0,7.0,218.5,131.0
43.0,7.0,224.0,129.5
44.0,7.0,229.0,130.5
45.0,7.0,233.0,132.5
46.0,7.0,228.0,133.5
47.0,7.0,223.5,133.0
48.0,7.0,192.5,175.0
49.0,7.0,197.0,172.0
50.0,7.0,201.5,170.5
51.0,7.0,204.5,172.0
52.0,7.0,208.5,171.5
53.0,7.0,213.0,174.5
54.0,7.0,218.5,178.0
55.0,7.0,212.5,178.5
56.0,7.0,207.5,178.5
57.0,7.0,204.0,178.5
58.0,7.0,200.0,177.5
59.0,7.0,197.0,176.5
60.0,7.0,195.0,174.5
61.0,7.0,201.0,175.5
62.0,7.0,204.5,176.0
63.0,7.0,208.0,176.0
64.0,7.0,216.0,177.0
65.0,7.0,208.0,173.0
66.0,7.0,204.0,172.5
67.0,7.0,201.0,172.0
0.0,8.0,167.25,132.5
1.0,8.0,167.0,144.5
2.0,8.0,167.0,156.5
3.0,8.0,167.25,167.5
4.0,8.0,171.25,177.5
5.0,8.0,177.5,185.0
6.0,8.0,184.0,190.75
7.0,8.0,191.5,195.25
8.0,8.0,200.5,196.25
9.0,8.0,210.25,196.25
10.0,8.0,221.0,194.25
11.0,8.0,231.5,190.25
12.0,8.0,241.0,183.5
13.0,8.0,247.75,174.0
14.0,8.0,249.75,162.25
15.0,8.0,251.0,149.75
16.0,8.0,252.0,136.75
17.0,8.0,172.0,117.25
18.0,8.0,176.25,110.75
19.0,8.0,182.75,108.0
20.0,8.0,190.75,108.25
21.0,8.0,197.75,112.25
22.0,8.0,212.0,112.75
23.0,8.0,220.0,108.25
24.0,8.0,228.25,108.5
25.0,8.0,236.0,112.25
26.0,8.0,240.75,119.25
27.0,8.0,203.5,127.25
28.0,8.0,202.75,135.25
29.0,8.0,201.75,143.25
30.0,8.0,201.0,151.0
31.0,8.0,194.5,158.75
32.0,8.0,198.25,160.0
33.0,8.0,201.25,161.25
34.0,8.0,206.25,161.0
35.0,8.0,211.0,160.0
36.0,8.0,180.75,129.25
37.0,8.0,185.0,128.0
38.0,8.0,189.25,127.25
39.0,8.0,194.25,128.75
40.0,8.0,190.0,130.5
41.0,8.0,185.0,130.5
42.0,8.0,215.75,129.5
43.0,8.0,221.0,128.25
44.0,8.0,226.0,129.25
45.0,8.0,230.0,130.75
46.0,8.0,225.0,131.75
47.0,8.0,220.75,131.5
48.0,8.0,189.25,175.0
49.0,8.0,193.5,171.5
50.0,8.0,197.75,170.25
51.0,8.0,201.25,171.5
52.0,8.0,205.25,171.25
53.0,8.0,210.0,174.25
54.0,8.0,215.75,178.0
55.0,8.0,209.25,178.75
56.0,8.0,204.25,178.75
57.0,8.0,200.5,178.75
58.0,8.0,196.5,177.75
59.0,8.0,193.5,176.75
60.0,8.0,191.5,174.25
61.0,8.0,197.5,174.75
62.0,8.0,201.25,175.5
63.0,8.0,204.5,175.5
64.0,8.0,213.0,177.0
65.0,8.0,204.5,173.5
66.0,8.0,200.5,172.75
67.0,8.0,197.5,172.5
0.0,9.0,165.0,132.0
1.0,9.0,165.0,144.0
2.0,9.0,165.0,156.0
3.0,9.0,165.0,167.0
4.0,9.0,169.0,177.0
5.0,9.0,175.0,185.0
6.0,9.0,181.0,191.0
7.0,9.0,188.0,196.0
8.0,9.0,197.0,197.0
9.0,9.0,207.0,197.0
10.0,9.0,218.0,195.0
11.0,9.0,229.0,191.0
12.0,9.0,239.0,184.0
13.0,9.0,246.0,174.0
14.0,9.0,248.0,162.0
15.0,9.0,249.0,149.0
16.0,9.0,250.0,136.0
17.0,9.0,169.0,117.0
18.0,9.0,173.0,110.0
19.0,9.0,179.0,107.0
20.0,9.0,187.0,107.0
