No,frame,x,y
0,30,114,146
1,30,115,158
2,30,117,169
3,30,122,181
4,30,128,192
5,30,135,202
6,30,143,211
7,30,152,218
8,30,163,219
9,30,174,215
10,30,184,207
11,30,191,196
12,30,198,184
13,30,202,171
14,30,204,157
15,30,204,142
16,30,203,128
17,30,118,133
18,30,120,127
19,30,125,123
20,30,132,123
21,30,138,125
22,30,151,120
23,30,158,115
24,30,166,112
25,30,175,114
26,30,182,118
27,30,146,137
28,30,146,146
29,30,147,156
30,30,147,166
31,30,143,173
32,30,147,174
33,30,151,174
34,30,155,172
35,30,159,170
36,30,125,142
37,30,128,138
38,30,133,137
39,30,137,140
40,30,133,143
41,30,128,144
42,30,160,135
43,30,163,129
44,30,168,128
45,30,173,130
46,30,170,134
47,30,165,135
48,30,143,193
49,30,145,188
50,30,148,185
51,30,152,185
52,30,156,183
53,30,163,184
54,30,169,186
55,30,165,194
56,30,160,198
57,30,155,200
58,30,151,200
59,30,147,198
60,30,145,192
61,30,149,190
62,30,153,189
63,30,157,188
64,30,167,186
65,30,158,191
66,30,154,193
67,30,150,193
0,31,116,145
1,31,117,157
2,31,120,167
3,31,124,178
4,31,130,188
5,31,136,197
6,31,143,206
7,31,150,213
8,31,160,214
9,31,171,211
10,31,181,205
11,31,190,195
12,31,197,184
13,31,201,172
14,31,203,158
15,31,204,144
16,31,204,130
17,31,118,132
18,31,121,126
19,31,125,124
20,31,131,123
21,31,137,125
22,31,150,122
23,31,157,116
24,31,165,114
25,31,174,115
26,31,182,119
27,31,143,136
28,31,143,145
29,31,142,154
30,31,141,163
31,31,140,170
32,31,143,171
33,31,147,171
34,31,151,169
35,31,155,167
36,31,125,142
37,31,128,138
38,31,132,137
39,31,137,140
40,31,133,142
41,31,128,143
42,31,159,135
43,31,162,130
44,31,168,129
45,31,173,131
46,31,169,134
47,31,164,136
48,31,143,190
49,31,143,184
50,31,146,181
51,31,149,181
52,31,153,179
53,31,160,180
54,31,168,183
55,31,164,191
56,31,158,195
57,31,153,196
58,31,150,196
59,31,146,194
60,31,145,189
61,31,147,186
62,31,150,185
63,31,154,184
64,31,165,184
65,31,156,188
66,31,152,189
67,31,148,189
0,32,121,146
1,32,122,156
2,32,125,166
3,32,128,176
4,32,133,185
5,32,139,192
6,32,145,200
7,32,151,206
8,32,159,207
9,32,168,205
10,32,179,199
11,32,188,191
12,32,196,182
13,32,201,171
14,32,204,159
15,32,205,146
16,32,205,132
17,32,121,132
18,32,123,126
19,32,127,124
20,32,133,123
21,32,138,125
22,32,150,123
23,32,158,118
24,32,166,115
25,32,175,117
26,32,183,122
27,32,143,136
28,32,141,143
29,32,140,151
30,32,139,159
31,32,139,165
32,32,142,166
33,32,145,166
34,32,148,164
35,32,152,163
36,32,127,141
37,32,130,137
38,32,134,137
39,32,138,140
40,32,135,141
41,32,130,142
42,32,159,136
43,32,162,131
44,32,167,130
45,32,172,132
46,32,168,134
47,32,163,135
48,32,143,182
49,32,142,175
50,32,145,172
51,32,148,172
52,32,152,171
53,32,160,171
54,32,168,176
55,32,163,183
56,32,157,187
57,32,152,188
58,32,149,188
59,32,145,186
60,32,145,181
61,32,146,176
62,32,149,175
63,32,153,174
64,32,165,176
65,32,155,181
66,32,151,182
67,32,147,182
0,33,120,146
1,33,120,157
2,33,122,167
3,33,125,177
4,33,129,185
5,33,135,192
6,33,141,198
7,33,148,202
8,33,156,203
9,33,165,201
10,33,175,196
11,33,186,191
12,33,194,183
13,33,199,173
14,33,201,162
15,33,203,149
16,33,204,137
17,33,122,133
18,33,125,128
19,33,130,125
20,33,137,125
21,33,142,127
22,33,154,124
23,33,161,119
24,33,170,118
25,33,178,120
26,33,185,125
