No,frame,x,y
0,26,130,169
1,26,130,179
2,26,131,190
3,26,132,201
4,26,136,210
5,26,140,219
6,26,147,227
7,26,155,232
8,26,166,233
9,26,177,231
10,26,186,225
11,26,194,217
12,26,200,207
13,26,205,197
14,26,207,185
15,26,207,173
16,26,207,161
17,26,135,153
18,26,137,147
19,26,144,145
20,26,151,145
21,26,157,147
22,26,166,143
23,26,173,139
24,26,181,138
25,26,189,140
26,26,195,146
27,26,162,156
28,26,162,162
29,26,162,168
30,26,161,175
31,26,154,183
32,26,158,184
33,26,163,185
34,26,167,184
35,26,172,183
36,26,141,162
37,26,144,158
38,26,149,158
39,26,154,161
40,26,150,162
41,26,145,163
42,26,174,158
43,26,178,153
44,26,183,153
45,26,187,156
46,26,183,158
47,26,178,158
48,26,153,205
49,26,156,200
50,26,160,197
51,26,163,198
52,26,166,196
53,26,170,199
54,26,176,204
55,26,170,205
56,26,166,206
57,26,163,207
58,26,160,207
59,26,156,207
60,26,155,204
61,26,161,201
62,26,163,201
63,26,166,201
64,26,173,203
65,26,166,202
66,26,163,202
67,26,160,202
0,27,125,169
1,27,126,180
2,27,128,191
3,27,131,202
4,27,135,212
5,27,140,222
6,27,146,230
7,27,154,234
8,27,165,235
9,27,176,232
10,27,185,226
11,27,194,218
12,27,200,209
13,27,206,199
14,27,210,188
15,27,211,175
16,27,212,164
17,27,132,148
18,27,135,141
19,27,142,137
20,27,150,137
21,27,157,140
22,27,165,140
23,27,172,135
24,27,181,134
25,27,190,137
26,27,196,145
27,27,161,153
28,27,161,160
29,27,161,167
30,27,161,174
31,27,154,184
32,27,158,185
33,27,162,186
34,27,166,184
35,27,171,183
36,27,139,159
37,27,143,156
38,27,147,155
39,27,152,158
40,27,148,160
41,27,143,161
42,27,174,157
43,27,178,153
44,27,183,153
45,27,187,155
46,27,183,157
47,27,178,158
48,27,151,206
49,27,155,201
50,27,159,197
51,27,161,198
52,27,164,197
53,27,169,199
54,27,175,205
55,27,170,208
56,27,166,209
57,27,162,209
58,27,159,209
59,27,155,209
60,27,153,205
61,27,159,202
