,frame,x,y
0,1,48,209
1,1,47,219
2,1,48,229
3,1,49,239
4,1,53,248
5,1,59,256
6,1,65,261
7,1,72,265
8,1,81,266
9,1,90,266
10,1,101,265
11,1,112,261
12,1,120,254
13,1,127,245
14,1,130,235
15,1,131,222
16,1,132,209
17,1,52,195
18,1,54,188
19,1,60,185
20,1,67,186
21,1,73,189
22,1,83,190
23,1,91,186
24,1,100,186
25,1,108,189
26,1,114,196
27,1,77,205
28,1,76,213
29,1,75,221
30,1,73,228
31,1,67,234
32,1,71,235
33,1,75,236
34,1,80,235
35,1,85,234
36,1,57,205
37,1,61,203
38,1,66,203
39,1,70,207
40,1,65,208
41,1,60,208
42,1,89,209
43,1,94,206
44,1,99,206
45,1,104,208
46,1,99,210
47,1,94,210
48,1,65,248
49,1,68,244
50,1,72,243
51,1,76,243
52,1,80,242
53,1,86,244
54,1,93,248
55,1,87,249
56,1,81,250
57,1,76,250
58,1,72,250
59,1,68,249
60,1,67,248
61,1,72,247
62,1,76,247
63,1,80,247
64,1,91,247
65,1,80,245
66,1,76,245
67,1,72,245
0,2,48,210
1,2,47,219
2,2,48,228
3,2,51,237
4,2,56,246
5,2,61,254
6,2,68,259
7,2,75,264
8,2,83,266
9,2,93,267
10,2,104,264
11,2,114,259
12,2,123,251
13,2,129,242
14,2,131,230
15,2,132,217
16,2,132,203
17,2,49,195
18,2,51,190
19,2,56,188
20,2,62,189
21,2,68,192
22,2,81,192
23,2,88,188
24,2,97,187
25,2,106,189
26,2,112,195
27,2,75,205
28,2,74,214
29,2,73,222
30,2,71,230
31,2,66,234
32,2,70,236
33,2,74,238
34,2,80,236
35,2,85,235
36,2,55,206
37,2,58,204
38,2,63,204
39,2,68,207
40,2,63,208
41,2,58,207
42,2,89,208
43,2,94,206
44,2,99,206
45,2,104,207
46,2,99,209
47,2,93,209
48,2,66,245
49,2,68,243
50,2,71,243
51,2,76,244
52,2,81,243
53,2,88,244
54,2,98,246
55,2,89,247
56,2,82,248
57,2,77,248
58,2,72,247
59,2,68,246
60,2,67,245
61,2,71,247
62,2,76,247
63,2,81,247
64,2,95,246
65,2,81,243
66,2,77,243
67,2,72,242
0,3,46,211
1,3,45,222
2,3,45,233
3,3,46,244
4,3,49,256
5,3,54,268
6,3,61,278
7,3,69,286
8,3,79,290
9,3,91,289
10,3,103,284
11,3,115,277
12,3,123,267
13,3,129,255
14,3,131,241
15,3,132,226
16,3,132,212
17,3,48,200
18,3,51,196
19,3,56,196
20,3,61,197
21,3,66,199
22,3,80,198
23,3,88,196
24,3,96,196
25,3,104,198
26,3,110,202
27,3,73,210
28,3,72,218
29,3,70,225
30,3,69,234
31,3,65,240
32,3,68,242
33,3,72,243
34,3,76,242
35,3,81,241
36,3,54,208
37,3,57,206
38,3,61,206
39,3,66,209
40,3,61,210
41,3,57,209
42,3,87,211
43,3,91,208
44,3,96,208
45,3,102,211
46,3,96,212
47,3,91,212
48,3,59,255
49,3,63,253
50,3,68,253
51,3,72,254
52,3,77,253
53,3,86,254
54,3,94,257
55,3,87,264
56,3,79,268
57,3,74,268
58,3,70,267
59,3,63,263
60,3,61,256
61,3,69,256
62,3,73,257
63,3,77,256
64,3,92,257
65,3,79,263
66,3,74,263
67,3,69,262
0,4,41,213
1,4,40,224
2,4,40,236
3,4,42,248
4,4,46,259
5,4,50,271
6,4,56,281
7,4,63,289
8,4,73,291
9,4,85,291
10,4,97,286
11,4,108,279
12,4,116,268
13,4,122,256
14,4,126,243
15,4,128,228
16,4,128,213
17,4,43,198
18,4,46,194
19,4,51,194
20,4,56,196
21,4,62,199
22,4,76,197
23,4,83,194
24,4,91,193
25,4,99,195
26,4,106,200
27,4,68,209
28,4,67,218
29,4,65,226
30,4,64,234
31,4,59,242
32,4,62,243
33,4,66,244
34,4,71,244
35,4,76,243
36,4,48,208
37,4,51,205
38,4,56,206
39,4,60,210
40,4,56,210
41,4,51,210
42,4,82,211
43,4,86,208
44,4,92,208
45,4,97,210
46,4,92,213
47,4,86,212
48,4,58,265
49,4,59,260
50,4,63,258
51,4,66,259
52,4,70,258
53,4,77,261
54,4,83,266
55,4,79,272
56,4,72,275
57,4,68,275
58,4,64,274
59,4,59,271
60,4,59,265
61,4,63,262
62,4,66,262
63,4,70,262
64,4,81,265
65,4,71,269
66,4,67,269
67,4,64,268
