,frame,x,y
0,1,141,155
1,1,140,166
2,1,141,178
3,1,143,190
4,1,145,201
5,1,149,212
6,1,155,221
7,1,164,227
8,1,176,229
9,1,188,226
10,1,200,220
11,1,210,212
12,1,218,202
13,1,223,190
14,1,226,177
15,1,227,164
16,1,227,150
17,1,142,138
18,1,145,132
19,1,150,130
20,1,157,129
21,1,163,131
22,1,181,130
23,1,188,126
24,1,196,125
25,1,204,126
26,1,210,132
27,1,171,140
28,1,171,147
29,1,171,154
30,1,170,162
31,1,166,172
32,1,169,173
33,1,172,173
34,1,176,172
35,1,180,170
36,1,150,146
37,1,153,142
38,1,158,141
39,1,163,144
40,1,158,146
41,1,153,147
42,1,186,142
43,1,190,137
44,1,196,137
45,1,200,140
46,1,196,142
47,1,191,142
48,1,162,195
49,1,165,189
50,1,170,186
51,1,173,186
52,1,176,185
53,1,182,187
54,1,188,192
55,1,183,196
56,1,177,198
57,1,173,199
58,1,170,199
59,1,165,198
60,1,165,194
61,1,170,191
62,1,173,190
63,1,176,190
64,1,185,192
65,1,177,192
66,1,173,192
67,1,170,193
0,2,144,152
1,2,143,164
2,2,144,175
3,2,145,187
4,2,148,199
5,2,151,210
6,2,158,220
7,2,166,227
8,2,178,228
9,2,190,227
10,2,202,221
11,2,213,213
12,2,221,203
13,2,226,191
14,2,230,177
15,2,231,164
16,2,232,151
17,2,147,139
18,2,151,134
19,2,157,132
20,2,164,133
21,2,171,135
22,2,185,133
23,2,192,130
24,2,201,129
25,2,209,131
26,2,216,136
27,2,177,142
28,2,176,148
29,2,175,155
30,2,174,162
31,2,169,171
32,2,172,173
33,2,175,173
34,2,180,172
35,2,184,171
36,2,155,146
37,2,159,143
38,2,163,143
39,2,168,145
40,2,163,146
41,2,159,147
42,2,191,144
43,2,195,141
44,2,200,141
45,2,205,144
46,2,200,145
47,2,195,144
48,2,165,194
49,2,168,189
50,2,173,186
51,2,176,186
52,2,179,185
53,2,185,188
54,2,192,193
55,2,186,197
56,2,180,199
57,2,176,200
58,2,172,200
59,2,168,198
60,2,168,194
61,2,173,191
62,2,176,191
63,2,180,190
64,2,189,193
65,2,180,193
66,2,176,193
67,2,173,193
0,3,147,151
1,3,146,163
2,3,147,174
3,3,148,186
4,3,150,198
5,3,154,209
6,3,160,219
7,3,168,226
8,3,180,228
9,3,193,227
10,3,205,221
11,3,216,213
12,3,224,203
13,3,230,191
14,3,233,177
15,3,234,164
16,3,234,151
17,3,150,138
18,3,154,134
19,3,159,132
20,3,166,133
21,3,172,136
22,3,189,134
23,3,196,131
24,3,204,130
25,3,212,132
26,3,218,136
27,3,180,142
28,3,179,148
29,3,179,155
30,3,178,162
31,3,173,171
32,3,176,173
33,3,179,174
34,3,183,173
35,3,187,171
36,3,158,145
37,3,161,142
38,3,166,142
39,3,172,145
40,3,166,146
41,3,161,146
42,3,194,144
43,3,198,141
44,3,204,141
45,3,208,144
46,3,204,145
47,3,198,145
48,3,168,193
49,3,171,188
50,3,176,185
51,3,179,186
52,3,182,185
53,3,188,187
54,3,195,194
55,3,189,198
56,3,183,200
57,3,179,200
58,3,175,199
59,3,171,198
60,3,170,193
61,3,176,190
62,3,179,190
63,3,182,190
64,3,191,193
65,3,182,193
66,3,179,193
67,3,176,192
0,4,149,152
1,4,148,163
2,4,148,175
3,4,149,186
4,4,151,198
5,4,155,209
6,4,161,219
7,4,170,226
8,4,181,228
