,frame,x,y
0,1,135,157
1,1,135,169
2,1,136,181
3,1,138,192
4,1,143,202
5,1,149,211
6,1,158,218
7,1,170,223
8,1,183,224
9,1,195,223
10,1,205,219
11,1,212,211
12,1,217,201
13,1,220,190
14,1,222,178
15,1,223,166
16,1,222,155
17,1,149,135
18,1,154,127
19,1,163,123
20,1,173,122
21,1,181,126
22,1,188,126
23,1,196,123
24,1,204,123
25,1,212,127
26,1,217,134
27,1,185,135
28,1,186,140
29,1,186,146
30,1,187,153
31,1,179,165
32,1,182,166
33,1,186,167
34,1,190,166
35,1,193,165
36,1,157,140
37,1,161,136
38,1,167,135
39,1,171,139
40,1,167,141
41,1,161,141
42,1,196,140
43,1,201,136
44,1,206,136
45,1,210,141
46,1,206,142
47,1,201,141
48,1,172,192
49,1,178,184
50,1,183,180
51,1,186,182
52,1,190,180
53,1,194,184
54,1,198,192
55,1,194,193
56,1,190,193
57,1,186,193
58,1,182,193
59,1,178,193
60,1,175,191
61,1,183,186
62,1,186,186
63,1,189,186
64,1,195,191
65,1,189,187
66,1,186,187
67,1,183,187
0,2,122,157
1,2,124,170
2,2,128,184
3,2,134,196
4,2,142,206
5,2,151,215
6,2,162,221
7,2,174,225
8,2,187,225
9,2,198,221
10,2,207,215
11,2,213,206
12,2,217,195
13,2,219,183
14,2,220,171
15,2,219,158
16,2,217,146
17,2,137,136
18,2,143,127
19,2,153,122
20,2,164,121
21,2,175,123
22,2,183,122
23,2,191,118
24,2,199,117
25,2,207,119
26,2,212,126
27,2,179,132
28,2,181,139
29,2,183,146
30,2,186,153
31,2,176,167
32,2,181,167
33,2,185,167
34,2,189,166
35,2,192,164
36,2,147,141
37,2,152,136
38,2,158,135
39,2,165,139
40,2,159,141
41,2,153,142
42,2,189,136
43,2,194,130
44,2,200,129
45,2,205,134
46,2,201,136
47,2,195,136
48,2,171,194
49,2,177,185
50,2,182,181
51,2,186,181
52,2,189,180
53,2,194,184
54,2,198,191
55,2,195,193
56,2,191,195
57,2,187,195
58,2,183,196
59,2,178,195
60,2,174,193
61,2,183,187
62,2,186,186
63,2,190,186
64,2,196,190
65,2,190,188
66,2,186,188
67,2,183,188
0,3,122,154
1,3,124,168
2,3,127,181
3,3,133,193
4,3,140,204
5,3,149,213
6,3,159,221
7,3,172,226
8,3,185,226
9,3,196,223
10,3,205,216
11,3,212,207
12,3,216,195
13,3,219,184
14,3,220,172
15,3,219,160
16,3,217,148
17,3,138,135
18,3,145,127
19,3,154,123
20,3,165,122
21,3,175,124
22,3,184,124
23,3,191,121
24,3,199,121
25,3,206,123
26,3,211,130
27,3,180,135
28,3,181,141
29,3,183,148
30,3,185,155
31,3,175,168
32,3,180,169
33,3,185,169
34,3,188,168
35,3,192,166
36,3,148,142
37,3,153,137
38,3,159,136
39,3,165,140
40,3,160,142
41,3,153,143
42,3,188,138
43,3,193,133
44,3,199,133
45,3,204,137
46,3,200,140
47,3,194,140
48,3,169,195
49,3,175,186
50,3,181,182
51,3,185,182
52,3,188,181
53,3,193,185
54,3,196,192
55,3,193,196
56,3,189,197
57,3,185,198
58,3,181,198
59,3,176,197
60,3,172,193
61,3,181,188
62,3,185,187
63,3,188,187
64,3,193,192
65,3,188,190
66,3,185,191
67,3,181,191
0,4,125,155
1,4,126,169
2,4,129,182
3,4,135,193
4,4,142,204
5,4,150,213
6,4,160,220
7,4,172,224
8,4,185,225
9,4,196,222
10,4,204,216
11,4,211,207
12,4,216,197
13,4,218,186
14,4,219,173
15,4,219,160
16,4,217,148
17,4,140,133
18,4,146,125
19,4,156,122
20,4,166,121
21,4,175,123
22,4,183,124
23,4,190,121
24,4,199,121
25,4,206,124
26,4,211,131
27,4,179,133
28,4,181,140
29,4,183,146
30,4,185,154
31,4,175,166
32,4,180,167
33,4,185,168
34,4,188,167
35,4,191,165
36,4,149,141
37,4,154,137
38,4,159,136
39,4,165,139
40,4,160,141
41,4,154,142
42,4,189,138
43,4,194,134
44,4,199,135
45,4,203,138
46,4,200,139
47,4,194,139
48,4,170,194
49,4,176,185
50,4,181,181
51,4,185,182
52,4,188,181
53,4,193,184
54,4,196,192
55,4,193,194
56,4,189,195
57,4,186,195
58,4,182,195
59,4,176,195
60,4,173,192
61,4,181,187
62,4,185,187
63,4,189,187
64,4,194,191
65,4,189,188
66,4,185,188
67,4,181,188
0,5,124,157
1,5,125,170
2,5,128,183
3,5,134,194
4,5,141,204
5,5,149,213
6,5,160,219
7,5,172,223
8,5,184,223
9,5,195,220
10,5,204,215
11,5,211,206
12,5,216,196
13,5,218,185
14,5,220,173
15,5,219,161
16,5,217,149
17,5,139,135
18,5,145,127
19,5,156,122
20,5,167,121
21,5,177,123
22,5,182,123
23,5,190,120
24,5,199,120
25,5,207,123
26,5,212,131
27,5,179,133
28,5,181,139
29,5,183,146
30,5,185,152
31,5,175,166
