,frame,x,y
0,1,179,156
1,1,178,167
2,1,178,179
3,1,179,192
4,1,182,203
5,1,185,214
6,1,192,223
7,1,200,227
8,1,212,228
9,1,226,226
10,1,241,221
11,1,254,214
12,1,266,205
13,1,275,194
14,1,279,179
15,1,280,164
16,1,281,148
17,1,178,129
18,1,179,121
19,1,185,116
20,1,192,114
21,1,200,116
22,1,216,114
23,1,225,109
24,1,236,108
25,1,245,112
26,1,252,120
27,1,208,130
28,1,206,136
29,1,205,142
30,1,203,148
31,1,200,163
32,1,203,164
33,1,207,164
34,1,212,163
35,1,217,161
36,1,186,140
37,1,189,135
38,1,194,134
39,1,200,137
40,1,195,138
41,1,190,140
42,1,225,133
43,1,229,129
44,1,235,129
45,1,241,132
46,1,235,134
47,1,229,133
48,1,196,192
49,1,197,183
50,1,202,178
51,1,206,178
52,1,210,177
53,1,217,181
54,1,225,190
55,1,218,192
56,1,211,193
57,1,207,194
58,1,204,195
59,1,198,195
60,1,199,190
61,1,203,184
62,1,207,184
63,1,210,184
64,1,221,189
65,1,211,187
66,1,207,187
67,1,203,188
0,2,181,151
1,2,179,163
2,2,179,176
3,2,180,188
4,2,182,201
5,2,186,212
6,2,191,221
7,2,199,227
8,2,211,229
9,2,224,227
10,2,239,222
11,2,253,215
12,2,265,207
13,2,275,195
14,2,280,181
15,2,281,165
16,2,281,149
17,2,183,128
18,2,184,121
19,2,189,117
20,2,195,115
21,2,201,118
22,2,217,115
23,2,225,111
24,2,235,111
25,2,244,115
26,2,251,123
27,2,209,132
28,2,207,137
29,2,205,143
30,2,203,149
31,2,200,164
32,2,203,164
33,2,207,165
34,2,212,164
35,2,217,162
36,2,190,140
37,2,192,135
38,2,197,134
39,2,202,137
40,2,197,139
41,2,193,140
42,2,225,134
43,2,228,130
44,2,234,130
45,2,239,134
46,2,234,135
47,2,229,135
48,2,197,193
49,2,198,183
50,2,202,178
51,2,206,179
52,2,210,178
53,2,216,181
54,2,223,191
55,2,216,192
56,2,210,193
57,2,207,194
58,2,203,195
59,2,199,195
60,2,199,191
61,2,203,185
62,2,206,185
63,2,210,184
64,2,219,189
65,2,210,187
66,2,206,187
67,2,203,188
0,3,179,154
1,3,178,166
2,3,178,179
3,3,179,191
4,3,182,204
5,3,186,215
6,3,192,224
7,3,200,229
8,3,212,230
9,3,226,228
10,3,240,222
11,3,254,215
12,3,266,206
13,3,275,194
14,3,279,179
15,3,280,164
16,3,280,148
17,3,179,129
18,3,181,121
19,3,186,117
20,3,194,115
21,3,201,117
22,3,216,115
23,3,225,110
24,3,235,109
25,3,245,112
26,3,252,121
27,3,208,131
28,3,207,137
29,3,205,144
30,3,203,150
31,3,199,165
32,3,203,165
33,3,207,166
34,3,212,165
35,3,217,163
36,3,187,141
37,3,190,137
38,3,195,136
39,3,200,137
40,3,196,139
41,3,191,141
42,3,225,133
43,3,229,130
44,3,234,130
45,3,240,133
46,3,234,134
47,3,229,134
48,3,197,195
49,3,198,186
50,3,202,180
51,3,206,181
52,3,209,179
53,3,215,183
54,3,223,191
55,3,216,193
56,3,211,194
57,3,207,195
58,3,203,196
59,3,199,196
60,3,200,193
61,3,203,187
62,3,206,186
63,3,210,186
64,3,219,190
65,3,210,188
66,3,206,188
67,3,203,189
0,4,182,152
1,4,180,164
2,4,180,176
3,4,181,189
4,4,184,201
5,4,186,213
6,4,192,223
7,4,200,229
8,4,211,231
9,4,225,229
10,4,239,224
11,4,253,216
12,4,264,207
13,4,273,195
14,4,278,181
15,4,280,165
16,4,281,149
17,4,184,130
18,4,185,123
19,4,189,119
20,4,196,117
21,4,202,120
22,4,215,118
23,4,224,113
24,4,234,112
25,4,244,116
26,4,251,125
27,4,209,132
28,4,207,139
29,4,205,145
30,4,203,152
31,4,200,165
32,4,203,166
33,4,206,166
34,4,212,165
35,4,216,163
