No,frame,x,y
0,13,240,131
1,13,238,141
2,13,237,151
3,13,238,162
4,13,239,173
5,13,241,183
6,13,245,192
7,13,251,198
8,13,260,200
9,13,272,199
10,13,286,196
11,13,298,191
12,13,308,183
13,13,315,173
14,13,318,160
15,13,319,147
16,13,319,133
17,13,242,112
18,13,243,107
19,13,246,104
20,13,251,103
21,13,255,105
22,13,268,103
23,13,276,100
24,13,284,101
25,13,292,105
26,13,298,112
27,13,260,115
28,13,259,121
29,13,257,127
30,13,255,133
31,13,253,144
32,13,255,145
33,13,258,145
34,13,263,144
35,13,268,143
36,13,246,122
37,13,248,118
38,13,251,118
39,13,256,119
40,13,252,121
41,13,248,121
42,13,276,118
43,13,280,116
44,13,285,116
45,13,289,119
46,13,284,119
47,13,280,119
48,13,250,166
49,13,250,160
50,13,255,157
51,13,258,157
52,13,262,157
53,13,269,159
54,13,278,166
55,13,270,169
56,13,263,169
57,13,259,169
58,13,255,169
59,13,251,169
60,13,252,165
61,13,255,162
62,13,259,162
63,13,262,162
64,13,275,165
65,13,262,165
66,13,259,164
67,13,255,164
0,14,241,130
1,14,239,140
2,14,238,151
3,14,239,162
4,14,240,172
5,14,243,182
6,14,246,192
7,14,252,197
8,14,261,199
9,14,273,198
10,14,286,195
11,14,298,189
12,14,308,182
13,14,315,172
14,14,319,160
15,14,320,146
16,14,322,133
17,14,243,110
18,14,245,106
19,14,248,104
20,14,252,103
21,14,257,104
22,14,269,102
23,14,277,100
24,14,286,101
25,14,294,104
26,14,300,111
27,14,262,115
28,14,260,121
29,14,258,127
30,14,256,133
31,14,253,143
32,14,256,144
33,14,259,145
34,14,264,144
35,14,268,143
36,14,246,121
37,14,249,118
38,14,253,117
39,14,257,119
40,14,253,120
41,14,249,121
42,14,277,118
43,14,281,116
44,14,286,116
45,14,290,119
46,14,285,119
47,14,281,119
48,14,250,165
49,14,251,159
50,14,255,156
51,14,259,157
52,14,262,156
53,14,270,159
54,14,278,166
55,14,270,169
56,14,263,169
57,14,259,169
58,14,255,169
59,14,251,168
60,14,252,164
61,14,256,161
62,14,259,161
63,14,262,161
64,14,274,165
65,14,263,164
66,14,259,164
67,14,256,163
0,15,243,128
1,15,240,138
2,15,239,149
3,15,240,160
4,15,241,171
5,15,244,182
6,15,247,191
7,15,253,197
8,15,262,200
9,15,274,199
10,15,288,196
11,15,300,191
12,15,310,183
13,15,318,173
14,15,322,160
15,15,324,146
16,15,325,132
17,15,244,108
18,15,246,104
19,15,249,101
20,15,253,100
21,15,257,102
22,15,272,100
23,15,280,97
24,15,288,98
25,15,296,102
26,15,303,109
27,15,263,113
28,15,261,119
29,15,259,125
30,15,257,131
31,15,254,141
32,15,256,143
33,15,260,143
34,15,265,143
35,15,270,142
36,15,248,119
37,15,250,115
38,15,254,114
39,15,258,117
40,15,254,118
41,15,251,119
42,15,278,116
43,15,283,113
44,15,288,114
45,15,292,117
46,15,287,118
47,15,282,117
48,15,252,164
49,15,252,157
50,15,257,155
51,15,260,156
52,15,264,155
53,15,271,158
54,15,279,165
55,15,271,168
56,15,264,168
57,15,260,168
58,15,256,168
59,15,253,167
60,15,254,163
61,15,257,160
62,15,260,160
63,15,264,160
64,15,275,165
65,15,264,163
66,15,260,163
67,15,257,162
0,16,243,132
1,16,241,141
2,16,240,151
3,16,241,162
4,16,243,173
5,16,246,183
6,16,250,192
7,16,256,198
8,16,265,200
9,16,277,198
10,16,290,195
11,16,301,190
12,16,311,182
13,16,318,172
14,16,322,160
15,16,323,146
16,16,324,132
17,16,245,111
18,16,245,106
19,16,248,103
20,16,251,102
21,16,255,104
22,16,272,102
23,16,279,99
24,16,287,99
25,16,295,103
26,16,301,110
27,16,262,114
28,16,261,120
29,16,259,125
30,16,257,131
31,16,254,141
32,16,257,143
33,16,260,143
34,16,265,143
35,16,270,141
36,16,248,120
37,16,250,117
38,16,254,116
39,16,258,118
40,16,254,119
41,16,251,120
42,16,278,117
43,16,282,115
44,16,287,115
45,16,291,118
46,16,286,119
47,16,282,118
48,16,253,164
49,16,253,157
50,16,257,154
51,16,261,155
52,16,265,154
53,16,272,158
54,16,279,165
55,16,272,168
56,16,265,169
57,16,261,169
58,16,257,168
59,16,254,167
60,16,255,163
61,16,258,159
62,16,261,159
63,16,265,160
64,16,276,165
65,16,265,163
66,16,261,163
67,16,258,163
0,17,243,130
1,17,241,140
2,17,241,150
3,17,241,161
4,17,243,172
5,17,246,182
6,17,251,190
7,17,258,196
8,17,269,198
9,17,282,197
10,17,294,193
11,17,306,187
12,17,314,180
13,17,320,170
14,17,322,158
15,17,323,146
16,17,324,133
17,17,246,112
18,17,248,107
19,17,253,103
20,17,259,102
21,17,266,104
22,17,277,103
23,17,285,101
24,17,294,102
25,17,302,105
26,17,309,112
27,17,270,114
28,17,268,121
29,17,267,127
30,17,265,134
31,17,259,142
32,17,263,144
33,17,268,145
34,17,273,144
35,17,279,142
36,17,251,120
37,17,254,117
38,17,259,116
39,17,263,119
40,17,259,120
41,17,254,120
42,17,286,118
43,17,290,115
44,17,295,115
45,17,300,118
46,17,295,119
47,17,290,118
48,17,254,162
49,17,258,157
50,17,264,155
51,17,269,156
52,17,274,155
53,17,281,157
54,17,291,161
55,17,282,165
56,17,274,167
57,17,269,167
58,17,264,167
59,17,258,166
60,17,257,161
61,17,264,159
62,17,269,160
63,17,274,159
64,17,288,161
65,17,274,162
66,17,269,163
67,17,264,162
0,18,243,128
1,18,241,139
2,18,240,149
3,18,240,160
4,18,242,171
5,18,244,182
6,18,249,190
7,18,257,196
8,18,268,198
9,18,281,197
10,18,293,194
11,18,305,189
12,18,313,181
13,18,319,172
14,18,322,160
15,18,324,148
16,18,324,135
17,18,246,110
18,18,249,105
19,18,254,102
20,18,260,102
21,18,266,104
22,18,277,103
23,18,285,101
24,18,294,102
25,18,302,105
26,18,309,112
27,18,270,113
28,18,268,120
29,18,266,127
30,18,264,134
31,18,258,142
32,18,262,144
33,18,267,146
34,18,272,144
35,18,278,142
36,18,251,118
37,18,255,116
38,18,259,115
39,18,264,117
40,18,259,118
41,18,255,118
42,18,286,117
43,18,291,115
44,18,295,116
45,18,300,119
46,18,294,118
47,18,290,118
48,18,252,161
49,18,256,157
50,18,262,156
51,18,268,157
52,18,272,156
53,18,280,157
54,18,290,162
55,18,281,166
56,18,273,166
57,18,268,167
58,18,262,166
59,18,256,165
60,18,255,161
61,18,262,160
62,18,268,160
63,18,273,160
64,18,287,162
65,18,273,162
66,18,268,162
67,18,263,161
0,19,243,130
1,19,241,140
2,19,240,151
3,19,240,162
4,19,242,173
5,19,244,184
6,19,248,193
7,19,254,199
8,19,264,201
9,19,275,201
10,19,288,198
11,19,300,193
12,19,310,185
13,19,317,175
14,19,322,163
15,19,323,150
16,19,325,136
17,19,246,113
18,19,247,109
19,19,250,106
20,19,255,105
21,19,259,107
22,19,275,105
23,19,282,103
24,19,291,104
25,19,298,108
26,19,304,115
27,19,266,117
28,19,264,122
29,19,262,127
30,19,260,133
31,19,257,144
32,19,259,146
33,19,263,146
34,19,267,146
35,19,272,144
36,19,249,122
37,19,252,118
38,19,256,118
39,19,260,120
40,19,256,121
41,19,252,122
42,19,281,120
43,19,285,118
44,19,290,118
45,19,294,122
46,19,289,122
47,19,285,121
48,19,254,167
49,19,255,161
50,19,259,158
51,19,263,158
52,19,266,158
53,19,273,161
54,19,279,169
55,19,273,170
56,19,266,170
57,19,262,170
58,19,259,170
59,19,255,169
60,19,256,166
61,19,260,163
62,19,263,163
63,19,266,163
64,19,276,168
65,19,266,165
66,19,262,165
67,19,259,165
0,20,244,130
1,20,241,140
2,20,241,151
3,20,241,162
4,20,242,173
5,20,245,184
6,20,250,193
7,20,257,198
8,20,268,200
9,20,280,199
10,20,293,196
11,20,305,190
12,20,314,183
13,20,320,173
14,20,323,161
15,20,324,149
16,20,325,136
17,20,246,111
18,20,249,106
19,20,254,103
20,20,260,102
21,20,266,104
22,20,277,103
23,20,285,101
24,20,294,102
25,20,302,106
26,20,308,112
27,20,270,114
28,20,268,120
29,20,266,127
30,20,264,134
31,20,259,143
32,20,262,145
33,20,267,146
34,20,272,145
35,20,278,143
36,20,251,119
37,20,254,116
38,20,259,116
39,20,264,118
40,20,259,118
41,20,255,119
42,20,286,117
43,20,291,115
44,20,295,116
45,20,300,119
46,20,294,119
47,20,290,118
48,20,253,163
49,20,256,157
50,20,262,156
51,20,268,157
52,20,273,156
53,20,280,157
54,20,289,163
55,20,281,167
56,20,273,168
57,20,268,168
58,20,263,168
59,20,257,166
60,20,255,162
61,20,263,160
62,20,268,160
63,20,273,160
64,20,286,163
65,20,273,163
66,20,268,163
67,20,263,163
0,21,245,131
1,21,242,141
2,21,242,151
3,21,242,162
4,21,243,172
5,21,245,183
6,21,250,192
7,21,256,198
8,21,267,200
9,21,280,199
10,21,293,196
11,21,305,190
12,21,314,183
13,21,321,173
14,21,324,161
15,21,325,149
16,21,326,136
17,21,248,112
18,21,250,106
19,21,255,102
20,21,261,101
21,21,267,103
22,21,278,102
23,21,286,100
24,21,295,101
25,21,304,106
26,21,309,114
27,21,271,114
28,21,268,120
29,21,266,126
30,21,264,132
31,21,260,142
32,21,263,144
33,21,267,145
34,21,272,144
35,21,277,142
36,21,253,119
37,21,256,115
38,21,260,115
39,21,265,118
40,21,260,119
41,21,256,119
42,21,286,118
43,21,290,115
44,21,295,115
45,21,300,119
46,21,295,119
47,21,290,119
48,21,255,162
49,21,258,157
50,21,263,155
51,21,267,156
52,21,271,155
53,21,279,157
54,21,288,163
55,21,279,166
56,21,271,167
57,21,267,167
58,21,263,166
59,21,258,165
60,21,257,161
61,21,263,160
62,21,267,160
63,21,271,160
64,21,285,163
65,21,271,163
66,21,267,162
67,21,263,162
0,22,245,134
1,22,243,143
2,22,242,154
3,22,243,164
4,22,244,175
5,22,246,185
6,22,250,194
7,22,257,199
8,22,268,201
9,22,281,201
10,22,294,198
11,22,306,192
12,22,315,185
13,22,321,175
14,22,324,162
15,22,326,150
16,22,327,137
17,22,248,114
18,22,250,109
19,22,255,105
20,22,262,104
21,22,268,105
22,22,279,104
23,22,287,102
24,22,297,103
25,22,305,107
26,22,311,114
27,22,272,115
28,22,270,121
29,22,267,126
30,22,265,132
31,22,261,143
32,22,264,144
33,22,268,146
34,22,273,145
35,22,278,143
36,22,253,122
37,22,256,118
38,22,261,117
39,22,266,120
40,22,261,121
41,22,257,122
42,22,287,119
43,22,292,116
44,22,297,116
45,22,301,120
46,22,296,121
47,22,291,120
48,22,255,165
49,22,258,159
50,22,264,156
51,22,268,157
52,22,272,156
53,22,280,159
54,22,289,166
55,22,280,168
56,22,272,169
57,22,268,169
58,22,263,168
59,22,258,168
60,22,258,164
61,22,264,161
62,22,268,161
63,22,272,161
64,22,285,165
65,22,272,164
66,22,268,164
67,22,264,163
0,23,245,133
1,23,242,143
2,23,242,153
3,23,242,164
4,23,243,175
5,23,246,185
6,23,250,194
7,23,257,199
8,23,268,201
9,23,281,200
10,23,295,197
11,23,306,191
12,23,315,184
13,23,321,174
14,23,324,161
15,23,325,149
16,23,326,137
17,23,248,113
18,23,250,108
19,23,254,104
