No,frame,x,y
0,12,230,145
1,12,228,156
2,12,228,169
3,12,229,181
4,12,230,194
5,12,233,206
6,12,237,217
7,12,245,225
8,12,256,228
9,12,269,228
10,12,283,223
11,12,296,215
12,12,306,205
13,12,314,194
14,12,319,181
15,12,321,166
16,12,323,152
17,12,235,123
18,12,239,117
19,12,244,115
20,12,251,115
21,12,257,119
22,12,268,119
23,12,278,117
24,12,287,118
25,12,296,123
26,12,301,131
27,12,262,135
28,12,261,142
29,12,259,149
30,12,257,156
31,12,252,167
32,12,255,169
33,12,258,170
34,12,262,170
35,12,267,169
36,12,240,138
37,12,243,136
38,12,248,136
39,12,253,139
40,12,248,140
41,12,243,140
42,12,276,141
43,12,281,139
44,12,286,140
45,12,291,143
46,12,286,144
47,12,281,143
48,12,246,191
49,12,249,183
50,12,253,179
51,12,256,181
52,12,260,181
53,12,265,186
54,12,271,196
55,12,264,198
56,12,259,199
57,12,255,198
58,12,251,197
59,12,248,195
60,12,248,191
61,12,253,186
62,12,256,186
63,12,259,187
64,12,267,195
65,12,259,191
66,12,255,190
67,12,252,190
0,13,230,143
1,13,228,155
2,13,228,168
3,13,229,181
4,13,230,194
5,13,233,207
6,13,238,218
7,13,245,226
8,13,256,229
9,13,269,229
10,13,283,224
11,13,296,216
12,13,306,206
13,13,314,194
14,13,319,181
15,13,321,166
16,13,323,152
17,13,235,124
18,13,239,118
19,13,244,116
20,13,251,117
21,13,257,120
22,13,269,120
23,13,278,118
24,13,287,119
25,13,296,124
26,13,302,132
27,13,262,136
28,13,261,143
29,13,259,150
30,13,257,157
31,13,252,168
32,13,254,170
33,13,258,171
34,13,262,171
35,13,267,170
36,13,239,139
37,13,243,137
38,13,248,138
39,13,252,140
40,13,247,141
41,13,242,141
42,13,276,142
43,13,281,141
44,13,286,142
45,13,291,144
46,13,286,145
47,13,280,144
48,13,246,192
49,13,249,184
50,13,253,181
51,13,256,183
52,13,260,182
53,13,265,188
54,13,271,198
55,13,264,200
56,13,258,200
57,13,254,199
58,13,251,198
59,13,248,197
60,13,249,192
61,13,253,187
62,13,256,188
63,13,259,189
64,13,267,196
65,13,259,193
66,13,255,192
67,13,252,191
0,14,230,143
1,14,228,155
2,14,228,168
3,14,229,181
4,14,230,194
5,14,233,207
6,14,237,218
7,14,245,225
8,14,256,229
9,14,269,228
10,14,282,223
11,14,295,216
12,14,305,207
13,14,312,196
14,14,318,183
15,14,320,168
16,14,322,154
17,14,235,124
18,14,238,118
19,14,244,116
20,14,251,116
21,14,257,120
22,14,269,120
23,14,278,118
24,14,287,119
25,14,296,124
26,14,301,132
27,14,262,136
28,14,261,143
29,14,259,150
30,14,257,157
31,14,252,168
32,14,255,169
33,14,258,171
34,14,262,171
35,14,267,170
36,14,239,138
37,14,243,136
38,14,248,137
39,14,253,140
40,14,248,141
41,14,242,140
42,14,276,142
43,14,281,140
44,14,286,141
45,14,292,144
46,14,286,145
47,14,280,144
48,14,246,192
49,14,248,185
50,14,253,181
51,14,256,182
52,14,260,182
53,14,265,187
54,14,271,197
55,14,264,200
56,14,259,200
57,14,255,200
58,14,251,199
59,14,247,197
60,14,248,192
61,14,253,188
62,14,256,188
63,14,259,189
64,14,268,196
65,14,259,192
66,14,256,192
67,14,253,191
0,15,230,144
1,15,228,156
2,15,228,169
3,15,229,182
4,15,230,195
5,15,234,207
6,15,239,217
7,15,246,225
8,15,257,228
9,15,269,227
10,15,283,222
11,15,296,215
12,15,306,206
13,15,313,194
14,15,319,181
15,15,321,166
16,15,322,152
17,15,235,125
18,15,238,118
19,15,244,115
20,15,251,115
21,15,257,119
22,15,268,119
23,15,277,116
24,15,287,117
25,15,295,122
26,15,301,131
27,15,261,135
28,15,260,142
29,15,258,149
30,15,257,156
31,15,251,167
32,15,254,169
33,15,258,170
34,15,262,170
35,15,267,169
36,15,239,138
37,15,243,136
38,15,247,137
39,15,253,139
40,15,247,140
41,15,243,140
42,15,276,141
43,15,280,139
44,15,286,140
45,15,291,143
46,15,285,143
47,15,280,143
48,15,246,191
49,15,248,184
50,15,253,180
51,15,256,181
52,15,259,181
53,15,265,186
54,15,271,195
55,15,264,198
56,15,259,198
57,15,255,197
58,15,251,196
59,15,248,195
60,15,248,190
61,15,253,187
62,15,256,187
63,15,259,188
64,15,267,194
65,15,259,190
66,15,255,190
67,15,252,189
0,16,230,144
1,16,228,157
2,16,228,169
